"","NLM__n1","NLM__n2","NLM__n3","NLM__n4","NLM__n5","NLM__n6"
"1",3,933.565368652344,0.0181679539382458,0.906197845935822,42461.01953125,24225
"2",3,1310.0703125,0.0719533041119576,6.03786039352417,43232.10546875,23095.376953125
"3",3,1211.83666992188,0.0574566572904587,41.319709777832,43275.88671875,23155.3515625
"4",3,293.425445556641,0.0437735691666603,1.73365807533264,44027.51953125,27283.373046875
"5",1,1233.09851074219,0.0433883033692837,34.5034370422363,43178.85546875,23316.5703125
"6",3,749.717956542969,0.043058555573225,23.8208808898926,42387.55078125,22461.201171875
"7",1,1187.80395507812,0.00985719636082649,3.01826930046082,43590.59765625,25716.318359375
"8",3,1479.80603027344,0.0182336717844009,7.65716314315796,42284.09765625,23853.41015625
"9",3,1456.01257324219,0.0234047118574381,34.2583465576172,43058.8203125,23197.546875
"10",1,290.644104003906,0.134447321295738,0,44282.11328125,23353.259765625
"11",1,1148.87170410156,0.052035003900528,0.097086176276207,43077.7109375,24064.87109375
"12",1,435.966156005859,0.0322112329304218,0,42696.73828125,22204.79296875
"13",1,567.858459472656,0.147772341966629,14.9170074462891,41039.30859375,25342.4140625
"14",1,1135.71691894531,0.0326630175113678,19.0775489807129,43171.89453125,23599.048828125
"15",3,1202.75402832031,0.0954780578613281,12.1042490005493,42957.28125,22824.212890625
"16",1,703.898071289062,0.00869942735880613,1.2523010969162,44023.90234375,23795.9296875
"17",1,811.124206542969,0.0156532786786556,0,44165.1171875,23848.09765625
"18",3,1018.45141601562,0.00698405038565397,1.98505711555481,46791.72265625,19611.064453125
"19",1,1148.87170410156,0.0307850074023008,23.9012775421143,43993.23828125,22370.630859375
"20",0,1230.79089355469,NA,0,44629.015625,21241.392578125
"21",3,1499.9775390625,0.0196051672101021,10.0675945281982,43198.1875,22916.001953125
"22",3,1875.16137695312,0.0311287380754948,5.4505500793457,41992.8125,23694.21484375
"23",3,525.514038085938,0.00869650579988956,0.104913607239723,43280.16796875,24916.775390625
"24",1,887.62744140625,0.00869749300181866,0.0594749674201012,46747.2734375,19971.26171875
"25",1,786.20751953125,0.121032163500786,22.1149158477783,45092.80859375,25809.876953125
"26",3,1233.42785644531,0.0122354626655579,7.79360914230347,44542.69140625,24350.2265625
"27",1,894.918151855469,0.0296888574957848,12.1214895248413,41150.890625,27105.357421875
"28",1,201.525436401367,0.146231964230537,20.4524326324463,42918.171875,21995.373046875
"29",3,191.183807373047,0.0571744032204151,0.0502387993037701,41879.921875,25252.49609375
