"","NLM__n1","NLM__n2","NLM__n3","NLM__n4","NLM__n5","NLM__n6"
"1",0,161.220352172852,NA,0,19726.03515625,48484.7578125
"2",0,207.483139038086,NA,0,19822.2578125,48472.6015625
"3",0,90.1249160766602,NA,0,19958.34375,48448.2734375
"4",1,63.7279357910156,NA,0,20054.70703125,48436.62890625
"5",1,371.594543457031,NA,0,20240.740234375,48580.94140625
"6",0,85.5,NA,0,19434.994140625,48433.3984375
"7",3,85.5,NA,0,19726.818359375,48267.67578125
"8",0,262.757019042969,NA,0,19729.92578125,48574.2421875
"9",3,127.455871582031,NA,0,19780.642578125,48178.48828125
"10",3,102.758209228516,NA,0,19796.91796875,48191.30859375
"11",0,145.322052001953,NA,0,19945.806640625,48524.99609375
"12",1,537.736938476562,NA,0.011050621047616,20087.62890625,48847.90234375
"13",1,446.095550537109,NA,0.00468273926526308,20121.181640625,48745.7421875
"14",3,235.017013549805,NA,0.00184155581519008,20224.640625,48439.26953125
"15",3,262.757019042969,NA,0.00143067154567689,20241.521484375,48452.421875
"16",3,217.049530029297,NA,0.000446134508820251,20230.78515625,48400.8359375
"17",3,171,NA,0,20144.96484375,48463.609375
"18",3,243.504104614258,NA,0.00256194756366313,20247.62109375,48413.984375
"19",3,201.525436401367,NA,6.26711916993372e-05,20184.802734375,48451.42578125
"20",3,450.624572753906,NA,0.0974884778261185,20299.54296875,48839.53125
"21",3,235.017013549805,NA,0.00184155581519008,20224.640625,48439.26953125
"22",3,254.911743164062,NA,0.00284068798646331,20270.61328125,48388.703125
"23",1,308.274627685547,NA,0.0275252889841795,20730.962890625,48361.1484375
"24",1,166.18212890625,NA,0.00802208483219147,21215.73828125,48313.72265625
"25",0,318.639678955078,NA,0,21719.26171875,48285.671875
"26",0,632.802673339844,NA,0,22206.78515625,48249.36328125
"27",1,729.956176757812,0.00611638883128762,8.22004890441895,22673.177734375,48243.05078125
"28",1,1040.15234375,0.00497660832479596,0.731157898902893,23180.99609375,48232.23828125
"29",1,1425.28491210938,0.0117821404710412,5.05851554870605,23672.04296875,48212.40625
"30",1,1382.47033691406,0.0149950059130788,0.202215522527695,24029.302734375,48381.8359375
"31",1,1354.87451171875,0.0122257051989436,0,24007.5078125,48405.9296875
"32",1,913.779541015625,0.0107067171484232,5.15621519088745,24985.544921875,47831.203125
"33",1,459.548706054688,0.011334553360939,4.65309810638428,25021.150390625,47168.81640625
"34",1,411.032836914062,0.00681859627366066,11.9052629470825,24986.1953125,47137.7421875
"35",1,120.915260314941,0.0248291585594416,13.0999507904053,25080,46735.1328125
