id,x,y,date,time
220,595115,5810209,11/16/2004,10:00
220,595640,5809762,11/16/2004,12:01
220,595768,5809351,11/16/2004,14:01
220,595700,5809544,11/16/2004,16:01
220,595835,5809854,11/16/2004,18:00
220,595200,5811049,11/16/2004,20:00
220,595189,5811042,11/16/2004,22:00
220,594222,5811182,11/17/2004,0:00
220,594198,5811281,11/17/2004,2:01
220,594202,5811286,11/17/2004,4:00
220,593871,5811647,11/17/2004,6:01
220,591814,5806359,11/17/2004,10:01
220,592531,5806712,11/17/2004,12:01
220,592586,5806636,11/17/2004,14:01
220,592434,5806865,11/17/2004,16:00
220,592617,5806245,11/17/2004,18:01
220,589239,5802937,11/17/2004,20:01
220,588020,5802413,11/17/2004,22:00
220,588024,5802409,11/18/2004,0:00
220,588834,5803902,11/18/2004,2:00
220,590819,5804476,11/18/2004,4:01
220,590824,5804455,11/18/2004,6:00
220,590339,5802470,11/18/2004,8:01
220,588572,5798476,11/18/2004,10:00
220,588530,5799125,11/18/2004,12:00
220,588547,5799102,11/18/2004,14:00
220,588561,5799148,11/18/2004,16:00
220,588533,5799144,11/18/2004,18:01
220,588527,5799128,11/18/2004,20:00
220,586302,5797422,11/18/2004,22:01
220,586273,5797448,11/19/2004,0:00
220,585888,5796659,11/19/2004,2:00
220,586299,5797422,11/19/2004,4:01
220,586248,5797434,11/19/2004,6:01
220,584962,5800646,11/19/2004,8:02
220,585700,5803229,11/19/2004,10:00
220,585287,5803497,11/19/2004,12:00
220,583168,5805841,11/19/2004,14:00
220,584236,5806012,11/19/2004,16:00
220,584239,5806014,11/19/2004,18:00
220,584234,5806023,11/19/2004,20:00
220,584292,5805962,11/19/2004,22:00
220,584368,5805985,11/20/2004,0:00
220,584138,5806579,11/20/2004,2:01
220,583641,5807804,11/20/2004,6:00
220,588480,5806089,11/20/2004,10:01
220,588611,5804583,11/20/2004,12:01
220,588598,5803244,11/20/2004,14:01
220,591136,5801175,11/20/2004,16:02
220,593176,5804679,11/20/2004,18:00
220,592121,5804415,11/20/2004,20:01
220,588898,5802837,11/20/2004,22:00
220,589160,5801604,11/21/2004,0:01
220,589166,5801538,11/21/2004,2:00
220,589147,5801545,11/21/2004,4:01
220,589148,5801546,11/21/2004,6:00
220,589151,5801552,11/21/2004,8:01
220,587759,5800824,11/21/2004,12:01
220,588683,5800387,11/21/2004,14:01
220,588603,5800539,11/21/2004,16:01
220,588635,5800507,11/21/2004,18:01
220,588650,5800108,11/21/2004,20:00
220,588848,5802055,11/21/2004,22:00
220,588582,5800550,11/22/2004,0:01
220,588463,5800552,11/22/2004,2:01
220,588627,5800456,11/22/2004,4:00
220,588588,5800503,11/22/2004,6:02
220,588598,5800530,11/22/2004,8:01
220,588613,5800507,11/22/2004,10:00
220,588608,5800514,11/22/2004,12:00
220,588644,5800444,11/22/2004,14:00
220,588658,5800431,11/22/2004,16:01
220,588618,5800523,11/22/2004,18:00
220,588606,5800518,11/22/2004,20:00
220,597226,5802151,11/23/2004,0:01
220,601921,5803901,11/23/2004,2:01
220,601922,5803893,11/23/2004,4:00
220,601915,5803904,11/23/2004,6:01
220,601913,5803785,11/23/2004,8:01
220,601998,5803486,11/23/2004,10:00
220,601639,5803158,11/23/2004,12:00
220,601629,5803148,11/23/2004,14:01
220,601588,5803160,11/23/2004,16:01
220,601554,5803082,11/23/2004,18:00
220,604173,5801399,11/23/2004,20:00
220,604341,5806435,11/23/2004,22:01
220,600464,5807204,11/24/2004,0:00
220,598341,5808550,11/24/2004,2:01
220,597761,5810269,11/24/2004,4:01
220,599083,5806976,11/24/2004,6:01
220,598707,5806643,11/24/2004,8:01
220,596094,5806695,11/24/2004,14:00
220,596099,5806707,11/24/2004,16:00
220,596130,5806678,11/24/2004,18:01
220,596107,5806703,11/24/2004,20:00
220,595433,5807210,11/24/2004,22:01
220,595892,5810437,11/25/2004,0:00
220,591307,5810494,11/25/2004,2:00
220,586704,5810046,11/25/2004,6:00
220,586519,5809395,11/25/2004,8:01
220,584345,5805526,11/25/2004,10:01
220,582852,5805550,11/25/2004,12:00
220,582725,5805675,11/25/2004,14:00
220,582694,5805721,11/25/2004,16:01
220,582706,5805668,11/25/2004,18:01
220,582557,5805815,11/25/2004,20:00
220,582635,5805692,11/25/2004,22:00
220,582636,5805687,11/26/2004,0:01
220,582652,5805687,11/26/2004,2:01
220,584543,5805966,11/26/2004,4:01
220,584606,5805888,11/26/2004,6:00
220,585808,5802855,11/26/2004,8:01
220,585829,5802807,11/26/2004,10:01
220,585823,5802806,11/26/2004,12:00
220,585830,5802825,11/26/2004,14:00
220,585831,5802807,11/26/2004,16:00
220,585841,5802794,11/26/2004,18:00
220,585833,5802814,11/26/2004,20:00
220,590119,5803405,11/26/2004,22:02
220,591319,5805126,11/27/2004,0:00
220,591625,5805555,11/27/2004,2:00
220,591954,5807562,11/27/2004,4:00
220,591175,5807237,11/27/2004,6:00
220,591876,5807085,11/27/2004,8:00
220,592040,5804372,11/27/2004,10:01
220,591506,5802495,11/27/2004,12:00
220,591304,5802972,11/27/2004,14:01
220,591356,5802911,11/27/2004,16:00
220,591321,5802953,11/27/2004,18:00
220,592064,5807465,11/27/2004,20:01
220,591968,5807548,11/27/2004,22:01
220,591978,5807554,11/28/2004,0:00
220,589357,5807268,11/28/2004,2:00
220,588057,5807179,11/28/2004,4:01
220,587457,5807256,11/28/2004,6:00
220,587592,5807176,11/28/2004,8:00
220,585537,5807552,11/28/2004,12:00
220,586547,5807388,11/28/2004,14:00
220,586552,5807397,11/28/2004,16:01
220,586551,5807405,11/28/2004,18:00
220,586252,5807393,11/28/2004,20:00
220,585079,5808631,11/28/2004,22:00
220,584439,5809807,11/29/2004,0:00
220,583843,5809956,11/29/2004,2:01
220,585892,5802727,11/29/2004,8:01
220,585985,5802723,11/29/2004,10:01
220,585844,5802795,11/29/2004,12:00
220,584451,5800887,11/29/2004,14:00
220,585426,5800050,11/29/2004,16:01
220,585440,5800038,11/29/2004,18:01
220,585517,5798827,11/29/2004,22:00
220,589058,5801376,11/30/2004,2:00
220,589663,5801669,11/30/2004,4:01
220,589669,5801709,11/30/2004,6:00
220,590083,5801302,11/30/2004,8:01
220,590105,5801321,11/30/2004,10:00
220,590083,5801298,11/30/2004,12:00
220,589893,5801356,11/30/2004,14:01
220,589467,5801021,11/30/2004,16:01
220,589585,5800924,11/30/2004,18:01
220,589588,5800898,11/30/2004,20:00
220,589589,5800901,11/30/2004,22:00
220,591270,5800599,12/1/2004,0:00
220,591287,5800600,12/1/2004,2:01
220,591267,5800609,12/1/2004,4:00
220,591277,5800591,12/1/2004,6:01
220,591148,5800649,12/1/2004,8:00
220,589766,5800740,12/1/2004,12:01
220,589604,5800849,12/1/2004,16:00
220,591320,5800556,12/1/2004,18:01
220,591239,5800619,12/1/2004,20:00
220,591281,5800599,12/1/2004,22:00
220,591255,5800665,12/2/2004,0:01
220,591358,5800867,12/2/2004,2:01
220,590810,5801162,12/2/2004,4:00
220,591292,5800623,12/2/2004,6:00
220,589350,5800250,12/2/2004,10:01
220,589083,5800509,12/2/2004,12:01
220,589419,5800465,12/2/2004,14:01
220,589401,5800526,12/2/2004,16:00
220,589398,5800547,12/2/2004,18:00
220,589401,5800529,12/2/2004,20:01
220,591290,5800630,12/3/2004,0:01
220,591307,5800554,12/3/2004,2:01
