"","x_","y_","t_","grid_id"
"107",563819.067,7628270.813,2005-06-14 00:18:00,462
"108",563966.0044,7627581.438,2005-06-14 04:18:00,462
"109",563996.6059,7627551.384,2005-06-14 08:18:00,462
"110",563962.5698,7627552.438,2005-06-14 12:18:00,462
"111",564019.8698,7627117.369,2005-06-14 16:18:00,462
"112",563382.7513,7626894.696,2005-06-14 20:18:00,461
"113",563243.6782,7626178.638,2005-06-15 00:18:00,435
"114",555279.8792,7627143.613,2005-06-16 08:18:00,457
"115",554828.7385,7627890.37,2005-06-16 12:18:00,457
"116",554713.2401,7627476.015,2005-06-16 16:18:00,457
"117",553908.278,7630887.962,2005-06-16 20:18:00,509
"118",552751.6915,7633619.654,2005-06-17 00:18:00,534
"119",551333.6963,7635382.377,2005-06-17 04:18:00,559
"120",551130.4487,7636465.112,2005-06-17 08:18:00,559
"121",551143.7905,7636510.673,2005-06-17 12:18:00,585
"122",551167.866,7637546.341,2005-06-17 16:18:00,585
"123",551339.6901,7638155.358,2005-06-17 20:18:00,585
"124",551320.4528,7638114.072,2005-06-18 00:18:00,585
"125",553827.3743,7641486.187,2005-06-18 08:18:00,639
"126",553804.4682,7641503.217,2005-06-18 12:18:00,639
"127",553881.7372,7641685.982,2005-06-18 16:18:00,639
"128",551638.0843,7643507.757,2005-06-18 20:18:00,664
"129",549630.1898,7642371.96,2005-06-19 00:18:00,637
"130",550564.1332,7641306.836,2005-06-19 08:18:00,637
"131",550575.6556,7641307.089,2005-06-19 12:18:00,637
"132",548898.5959,7636729.564,2005-06-19 16:18:00,584
"133",548819.0787,7634052.189,2005-06-19 20:18:00,532
"134",550742.5967,7634986.844,2005-06-20 00:18:00,559
"135",554132.8085,7632460.747,2005-06-20 08:18:00,509
"136",554105.0337,7632421.134,2005-06-20 12:18:00,509
"137",557624.9339,7631684.373,2005-06-20 16:18:00,511
"138",556805.1591,7630154.011,2005-06-20 20:18:00,484
"139",554659.5773,7628949.144,2005-06-21 00:18:00,483
"140",555391.1799,7627916.465,2005-06-21 04:18:00,457
"141",554787.1913,7627509.247,2005-06-21 08:18:00,457
"142",554748.1616,7627474.085,2005-06-21 12:18:00,457
"143",554834.0028,7627521.942,2005-06-21 16:18:00,457
"144",554767.73,7627100.624,2005-06-21 20:18:00,457
"145",554498.2893,7626147.024,2005-06-22 00:18:00,431
"146",554227.8311,7625874.534,2005-06-22 08:18:00,431
"147",554256.8077,7625876.077,2005-06-22 12:18:00,431
"148",554358.5845,7624429.534,2005-06-22 16:18:00,405
"149",556502.1323,7623839.698,2005-06-22 20:18:00,406
"150",556604.6045,7623765.294,2005-06-23 00:18:00,406
"151",559039.9189,7625201.438,2005-06-23 08:18:00,433
"152",559056.5798,7625202.58,2005-06-23 12:18:00,433
"153",559039.6039,7625313.103,2005-06-23 16:18:00,433
"154",559501.8021,7626288.472,2005-06-23 20:18:00,433
"155",561060.0896,7626273.813,2005-06-24 00:18:00,434
"156",564432.4445,7625001.485,2005-06-24 08:18:00,436
"157",564436.404,7624987.13,2005-06-24 12:18:00,436
"158",564402.3955,7624989.752,2005-06-24 16:18:00,436
"159",564653.2682,7625053.075,2005-06-24 20:18:00,436
"160",565363.5662,7624158.091,2005-06-25 00:18:00,410
"161",565449.9284,7623179.842,2005-06-25 12:18:00,410
"162",564933.4526,7622882.345,2005-06-25 16:18:00,410
"163",563524.4801,7623786.381,2005-06-25 20:18:00,409
"164",561921.0056,7623896.114,2005-06-26 00:18:00,409
"165",557200.8902,7621768.124,2005-06-26 08:18:00,380
"166",556984.0895,7621802.862,2005-06-26 12:18:00,380
"167",557057.073,7621868.488,2005-06-26 16:18:00,380
"168",557099.484,7622045.053,2005-06-26 20:18:00,380
"169",557033.113,7621854.609,2005-06-27 00:18:00,380
"170",553811.2335,7625312.59,2005-06-27 08:18:00,431
"171",553748.0308,7625338.864,2005-06-27 12:18:00,431
"172",553449.3469,7626559.323,2005-06-27 16:18:00,456
"173",551960.5244,7627773.43,2005-06-27 20:18:00,456
"174",552994.5219,7631560.534,2005-06-28 00:18:00,508
"175",551332.6036,7638147.432,2005-06-28 08:18:00,585
"176",551309.5739,7638140.065,2005-06-28 12:18:00,585
"177",551890.2544,7639087.525,2005-06-28 16:18:00,612
"178",553797.8071,7641671.517,2005-06-28 20:18:00,639
"179",553830.6039,7641621.641,2005-06-29 00:18:00,639
"180",548987.0405,7642126.219,2005-06-29 08:18:00,636
"181",549038.3613,7642094.348,2005-06-29 12:18:00,636
"182",550162.7249,7641282.562,2005-06-29 16:18:00,637
"183",551313.2289,7638138.369,2005-06-29 20:18:00,585
"184",551128.7752,7637942.246,2005-06-30 00:18:00,585
"185",546741.4399,7635577.405,2005-06-30 16:18:00,557
"186",546750.4192,7635624.9,2005-06-30 20:18:00,557
"187",545768.1837,7635582.74,2005-07-01 00:18:00,557
"188",545791.9439,7639009.038,2005-07-01 08:18:00,609
"189",545798.0596,7639008.227,2005-07-01 12:18:00,609
"190",545713.1044,7640487.549,2005-07-01 16:18:00,609
"191",545609.7215,7640518.147,2005-07-01 20:18:00,634
"192",545808.0087,7640524.507,2005-07-02 00:18:00,635
"193",546276.4968,7640341.603,2005-07-02 08:18:00,609
"194",547171.3,7637860.444,2005-07-02 12:18:00,583
"195",546856.5995,7637697.605,2005-07-02 16:18:00,583
