"","burst_","x1_","x2_","y1_","y2_","sl_","ta_","t1_","t2_","dt_","step_id_","case_","berries","grid_id","tslv","year","log_sl_","cos_ta_"
"1",1,564948.3297,564003.3721,7598662.538,7598347.731,996.016221276899,-2.83373885326889,2005-05-24 04:18:00,2005-05-24 08:18:00,4,1,TRUE,0,18,365.333333333333,2005,6.90376354387457,-0.952986092824955
"2",1,564948.3297,567241.642892494,7598662.538,7599086.46124918,2332.16558590073,3.0028010073232,2005-05-24 04:18:00,2005-05-24 08:18:00,4,1,FALSE,3,19,365.333333333333,2005,7.75455255091044,-0.990383890698775
"3",1,564948.3297,564964.873922952,7598662.538,7598645.12730902,24.017565938611,2.00910164656938,2005-05-24 04:18:00,2005-05-24 08:18:00,4,1,FALSE,1,20,365.333333333333,2005,3.17878547673823,-0.424405589410874
"4",1,564948.3297,561428.000414106,7598662.538,7601250.24540137,4369.09005128622,-0.95546091844182,2005-05-24 04:18:00,2005-05-24 08:18:00,4,1,FALSE,0,21,365.333333333333,2005,8.38231004015725,0.577232442463362
"5",1,564948.3297,564956.037064696,7598662.538,7598609.74040574,53.357187241844,1.39417172517665,2005-05-24 04:18:00,2005-05-24 08:18:00,4,1,FALSE,3,21,365.333333333333,2005,3.977008687359,0.175707695454106
"6",1,564948.3297,564936.817126104,7598662.538,7598612.77036369,51.0818654875923,1.02188824803241,2005-05-24 04:18:00,2005-05-24 08:18:00,4,1,FALSE,1,22,365.333333333333,2005,3.93342955139786,0.521756027886639
"7",1,564948.3297,564243.851558465,7598662.538,7598502.09166892,722.518149984176,-0.0976478668943201,2005-05-24 04:18:00,2005-05-24 08:18:00,4,1,FALSE,0,44,365.333333333333,2005,6.58274254075642,0.995236234101846
"8",1,564948.3297,564964.226856843,7598662.538,7598787.46761131,125.936997648624,-2.01894520407681,2005-05-24 04:18:00,2005-05-24 08:18:00,4,1,FALSE,1,45,365.333333333333,2005,4.83578176323874,-0.433297951737308
"9",1,564948.3297,563177.137003406,7598662.538,7598147.98255666,1844.42155505087,-0.0388491381424556,2005-05-24 04:18:00,2005-05-24 08:18:00,4,1,FALSE,1,45,365.333333333333,2005,7.51992098701923,0.999245467138531
"10",1,564948.3297,564869.322175024,7598662.538,7598586.92183936,109.361751780571,0.44188847185458,2005-05-24 04:18:00,2005-05-24 08:18:00,4,1,FALSE,1,45,365.333333333333,2005,4.69466121076373,0.903945675687356
"11",1,564948.3297,565276.477904899,7598662.538,7598718.25408932,332.844598854955,2.98819793851771,2005-05-24 04:18:00,2005-05-24 08:18:00,4,1,FALSE,1,45,365.333333333333,2005,5.80767571095082,-0.988258081691569
"12",1,564948.3297,563960.205459137,7598662.538,7599747.34682353,1467.37851251213,-1.15358601348122,2005-05-24 04:18:00,2005-05-24 08:18:00,4,1,FALSE,1,45,365.333333333333,2005,7.29123276293439,0.405211637636636
"13",1,564948.3297,564723.110519137,7598662.538,7598124.55113963,583.226835252632,0.852750532268285,2005-05-24 04:18:00,2005-05-24 08:18:00,4,1,FALSE,0,45,365.333333333333,2005,6.36857619344351,0.65791423096784
"14",1,564948.3297,564874.443186638,7598662.538,7599033.2706215,378.023667912724,-1.69565541449697,2005-05-24 04:18:00,2005-05-24 08:18:00,4,1,FALSE,3,45,365.333333333333,2005,5.93495680718517,-0.124534919294616
"15",1,564948.3297,565113.327322225,7598662.538,7598708.96734994,171.405658820992,3.0943134069099,2005-05-24 04:18:00,2005-05-24 08:18:00,4,1,FALSE,2,45,365.333333333333,2005,5.14403302091035,-0.998882544596493
"16",1,564948.3297,564560.627301465,7598662.538,7599328.1494659,770.29330347004,-1.36494231622784,2005-05-24 04:18:00,2005-05-24 08:18:00,4,1,FALSE,2,45,365.333333333333,2005,6.64677135591602,0.204403213995491
"17",1,564948.3297,564942.320314569,7598662.538,7598640.81198925,22.5417891132426,0.979364276139979,2005-05-24 04:18:00,2005-05-24 08:18:00,4,1,FALSE,1,45,365.333333333333,2005,3.11537088049454,0.557550401165875
"18",1,564948.3297,565207.195133354,7598662.538,7598534.98923876,288.582742173525,2.3622039811507,2005-05-24 04:18:00,2005-05-24 08:18:00,4,1,FALSE,3,46,0.333333333333333,2005,5.66498184612324,-0.71134333923568
"19",1,564948.3297,565607.008210373,7598662.538,7597118.41680639,1678.73989664388,1.6524173359271,2005-05-24 04:18:00,2005-05-24 08:18:00,4,1,FALSE,1,46,0.333333333333333,2005,7.42579872943892,-0.0815304129357195
"20",1,564948.3297,564594.929275044,7598662.538,7595753.58987934,2930.33633377545,1.12832122671644,2005-05-24 04:18:00,2005-05-24 08:18:00,4,1,FALSE,1,46,0.333333333333333,2005,7.98287248510773,0.42817750901464
"21",1,564948.3297,564755.857798102,7598662.538,7598695.92679974,195.34647416318,-0.493344458738342,2005-05-24 04:18:00,2005-05-24 08:18:00,4,1,FALSE,3,46,0.333333333333333,2005,5.27477477251905,0.880753938059965
"22",1,564003.3721,564140.4662,7598347.731,7598585.694,274.629171109012,-2.41504848876734,2005-05-24 08:18:00,2005-05-24 12:18:00,4,2,TRUE,3,46,0.5,2005,5.61542171896999,-0.74747453957235
"23",1,564003.3721,564358.690707553,7598347.731,7598181.79263599,392.156669615869,-1.48503576892884,2005-05-24 08:18:00,2005-05-24 12:18:00,4,2,FALSE,0,46,0.5,2005,5.97166142733215,0.0856554701795044
"24",1,564003.3721,564152.005464986,7598347.731,7598484.29267482,201.843920435893,-0.305028778132858,2005-05-24 08:18:00,2005-05-24 12:18:00,4,2,FALSE,0,46,0.5,2005,5.30749472762759,0.953838310295857
