t,x,y,datetime
159,549630.1898,7642371.96,2005-06-19 0:18
161,550564.1332,7641306.836,2005-06-19 8:18
162,550575.6556,7641307.089,2005-06-19 12:18
163,548898.5959,7636729.564,2005-06-19 16:18
164,548819.0787,7634052.189,2005-06-19 20:18
165,550742.5967,7634986.844,2005-06-20 0:18
167,554132.8085,7632460.747,2005-06-20 8:18
168,554105.0337,7632421.134,2005-06-20 12:18
169,557624.9339,7631684.373,2005-06-20 16:18
170,556805.1591,7630154.011,2005-06-20 20:18
171,554659.5773,7628949.144,2005-06-21 0:18
172,555391.1799,7627916.465,2005-06-21 4:18
173,554787.1913,7627509.247,2005-06-21 8:18
174,554748.1616,7627474.085,2005-06-21 12:18
175,554834.0028,7627521.942,2005-06-21 16:18
176,554767.73,7627100.624,2005-06-21 20:18
177,554498.2893,7626147.024,2005-06-22 0:18
179,554227.8311,7625874.534,2005-06-22 8:18
180,554256.8077,7625876.077,2005-06-22 12:18
181,554358.5845,7624429.534,2005-06-22 16:18
182,556502.1323,7623839.698,2005-06-22 20:18
183,556604.6045,7623765.294,2005-06-23 0:18
185,559039.9189,7625201.438,2005-06-23 8:18
186,559056.5798,7625202.58,2005-06-23 12:18
187,559039.6039,7625313.103,2005-06-23 16:18
188,559501.8021,7626288.472,2005-06-23 20:18
189,561060.0896,7626273.813,2005-06-24 0:18
191,564432.4445,7625001.485,2005-06-24 8:18
192,564436.404,7624987.13,2005-06-24 12:18
193,564402.3955,7624989.752,2005-06-24 16:18
194,564653.2682,7625053.075,2005-06-24 20:18
195,565363.5662,7624158.091,2005-06-25 0:18
198,565449.9284,7623179.842,2005-06-25 12:18
199,564933.4526,7622882.345,2005-06-25 16:18
200,563524.4801,7623786.381,2005-06-25 20:18
201,561921.0056,7623896.114,2005-06-26 0:18
203,557200.8902,7621768.124,2005-06-26 8:18
204,556984.0895,7621802.862,2005-06-26 12:18
205,557057.073,7621868.488,2005-06-26 16:18
206,557099.484,7622045.053,2005-06-26 20:18
207,557033.113,7621854.609,2005-06-27 0:18
209,553811.2335,7625312.59,2005-06-27 8:18
210,553748.0308,7625338.864,2005-06-27 12:18
211,553449.3469,7626559.323,2005-06-27 16:18
212,551960.5244,7627773.43,2005-06-27 20:18
213,552994.5219,7631560.534,2005-06-28 0:18
215,551332.6036,7638147.432,2005-06-28 8:18
216,551309.5739,7638140.065,2005-06-28 12:18
217,551890.2544,7639087.525,2005-06-28 16:18
218,553797.8071,7641671.517,2005-06-28 20:18
219,553830.6039,7641621.641,2005-06-29 0:18
221,548987.0405,7642126.219,2005-06-29 8:18
222,549038.3613,7642094.348,2005-06-29 12:18
223,550162.7249,7641282.562,2005-06-29 16:18
224,551313.2289,7638138.369,2005-06-29 20:18
225,551128.7752,7637942.246,2005-06-30 0:18
229,546741.4399,7635577.405,2005-06-30 16:18
230,546750.4192,7635624.9,2005-06-30 20:18
231,545768.1837,7635582.74,2005-07-01 0:18
233,545791.9439,7639009.038,2005-07-01 8:18
234,545798.0596,7639008.227,2005-07-01 12:18
235,545713.1044,7640487.549,2005-07-01 16:18
236,545609.7215,7640518.147,2005-07-01 20:18
237,545808.0087,7640524.507,2005-07-02 0:18
239,546276.4968,7640341.603,2005-07-02 8:18
240,547171.3,7637860.444,2005-07-02 12:18
241,546856.5995,7637697.605,2005-07-02 16:18
242,546865.1049,7637694.008,2005-07-02 20:18
243,546174.0968,7637460.171,2005-07-03 0:18
245,551723.9575,7638139.623,2005-07-03 8:18
246,551519.2484,7636718.51,2005-07-03 12:18
247,551798.7296,7635285.4,2005-07-03 16:18
248,551244.1106,7634222.303,2005-07-03 20:18
249,551217.2703,7631915.822,2005-07-04 0:18
250,552484.016,7629424.404,2005-07-04 4:18
251,552557.2962,7629446.803,2005-07-04 8:18
252,552787.6808,7629606.574,2005-07-04 12:18
253,552982.1854,7629642.549,2005-07-04 16:18
